Row_Num,Processed_Text,Polarity
1,view xmen start bang start background complement start sequenc overal compos victor put togeth put strong rest xmen overshadow wolverin victor origion wolverin m jackman deliv xmen ven hels type forget flop wont disappoint bet,1
2,asid naysay enjoy possibl comic book span volum book tell bring explain differ wolverin sabertooth line accept relat,1
3,manag squeez humanist excit xmen xmen beyond xmen lost ground wolverin pick ground surpass x3 intrigu structur,1
4,tell truth surpris neg review read imdb elsewher net aicn exampl xmen 1 close masterpiec xmen suck wolverin excit surprisingli effect opinion somebodi comic wolverin mainli hero mayb differ,1
5,tell truth expect pointi felt 13 x men brought marvel x men experi obvious x men self knew hugh jackman wolverin turn e legend anybodi els bring anim portrait logan sensit side crime mention spectacular liev schreiber sabertooth aka victor creed god villain reflect sabertooth x men fall fell cartoon sabertooth 1980 brought hate sabertooth x men 1 soft toy final x men graphic sound strong happen wolverin wrong graphic sound critic critic move dead pool happen awesom mutant freak couldv dead pool couldv use differ said overal marvel comic x men lover worship wait till creat next power mutant apocalyps x men lover fullest impact call piec art gavin hood david benioff skip wood hugh jackman,1
6,seem neg critic comment board comment imdb beg disagre,1
7,expert marvel comic xmen confid enjoy superhero gener xmen origin wolverin provid 107 minut solid entertain,1
8,final xmen origin wolverin today expect hope least trace qualiti previou x men let tell blown incred dare pack line superb glu tv moment scare id miss xmen origin wolverin entertain watchmen sever call blockbusterswheth xmen yourself favor youll pleasantli surpris,1
9,idea bash wolverin extrem highli entertain fit storylin dark uncompromis,1
10,xmen origin wolverin join host becom genr establish root reboot casino royal batman begin upcom trek name exampl,1
11,cost 150 million obviou,1
12,fair weaker instal thoroughli enjoy review alreadi weigh favor critic view standard comic book fairi tale intrins studi wolverin depth vulner outing previou instal riski necessari move oper balanc challeng prone death moment humor match drama interest view support interest enjoy presenc yukio provid invalu aid despit wolverin incess protest nice final develop closur weve cinemat instal,1
13,throughout modern superhero era stay hugh jackman wolverin success piec xmen franchis wolverin solo gig 2009 xmen origin wolverin turn chaotic smear superhero clichridden script jackman becom synonym robert downey jr jealou deserv,1
14,light fluffi comic book super hero depth substanc fight minut comic book late deep studi wolverin unexpectedli jackman superb lead tortur hero seem longer live near immort exist deep regret guilt happen past,1
15,wolverin solo instal sixth xmen instal fox itself improv predecessor except class teas larger univers fox prepar order compet marvel studio,1
16,foremost absolut cover review larg due held sourc materi regard said recogn slide scale enjoy 1983 claremontmil miniseri wolverin wait fond wolverin interest delv deeper chronolog explor inner conflict certainli enjoy familiar desir familiar wolverin yourself care slower moment evenli pace,1
17,frank miller chri claremont 1982 japanes arc famou celebr comic book final cinemat treatment amidst loos adapt tast wolverin solo outing,1
18,2009 xmen origin wolverin receiv neg critic major chanc redeem himself wolverin tri pleas loos base belov japan line comic clear tri fix problem complain previou solo wolverin despit event xmen stand attempt distanc itself rest xmen focus sole wolverin result previou xmen allow portray wolverin hugh jackman deliv date enjoy pace face pace wasnt afraid slow develop relationship slow pick pace sequenc creativ purpos mindless weve expect budget summer humour use effect writer advantag wolverin idgaf attitud mutant occasion seem slightli might play safe insur mistak wolverin overal wolverin superhero wolverin popular,1
19,spoiler warn,1
20,spoiler warn safe spiderman anybodi reboot minor handl peter chang nerd hero felt fantast respect keep compar fourth instead rebooti disagre reinvent nor switch relat closer comic exactli comic gripe spiderman petti ill admit address fix parker web shooter wherea spider bite gave power shoot web villainwhil lizard obvious green goblin choic ye goblin icon focu appear given side half origin upset cgi limit lizar movementand honestli bother prefer cgi guy run lizard costumethat wouldnt menac conclus reboot justifi humbl honest opinion prove spiderman except possibl wait tsm2,1
21,keep review surpris neg tbh usual resist chang case,1
22,initi kneejerk respons spiderman hereaft ta unnecessari redund felt tobey maguir interpret fame arachnoid peter parker thoroughli satisfi complet therefor bother ta cineplex recent cabl encor period ta eventu curios sat saturday morn ta chanc wish ta theatr cover usual spidey origin trajectori nerdi braini loner auntuncl bite genet alter spider subsequ infus power confid emerg outlandish deadli villain ta touch affect dare grittili realist depict spiderman importantli peter parker,1
23,spidey disagre spider trilog avatar sens complet rate superhero dark knight trilog reason prefer less corni satisfi origin disappoint peter parker school bulli becam friend glad peter bulli sorri beat death matter becam friend taken felt corni defiantli worth,1
24,enjoy bring franchis spiderman goe depth peter parker turn spiderman mean wasnt fake school school portray web shooter blue print tell spiderman closer comic suit wasnt written girl friend kept hostag andrew garfield 29 30 emma stone 24 25 17 kiss care lizard happen cross genet screw critic awesom spidey ps song chose,1
25,sam raimi spiderman releas jaw drop sort spring board current excess superhero definit disappoint spiderman disappoint franchis encourag reboot later fortun reboot entertain spidey wont disappoint nearli raimi spiderman fresh captiv live noncampi superhero spiderman manag itself youv dozen spin spiderman keep key element firmli mayb marc webb zack snyder tip establish lucr franchis least screw scrap fetch raimi trilog intens solid someon despis cgi silli overus clearli use includ lizard complet cgi,1
26,spiderman yetthi spiderman close comicsth close comicswhyandrew peter spidermanproof,1
27,admit exactli excit heard sam raimi trilog ride idea spiderman complet seem strang unnecessari announc curiou,1
