Row_Num,Processed_Text,Polarity
1,greater asshol creator garbag across tape agoni version hell talent alon ethic god sausag deprey loos lawsuit famili victim ridicul street hell laugh jerk remind creep pig parti regret 30 figur 30 concept human avoid tripe cost,1
2,excus milk tape fame andor,1
3,raymond peter drunk roommat whose constant shout match commit tape frustrat neighbor unwit unsuspect pair underground celebr thematicallysimilar winnebago quest learn clueless cult legend reward trail focu hover revisit tape hear men record reminisc glori dozen talk head throw headset burst genuin fit laughter light cheeri smile minut later inher humor materi begin run pictur begin downright pathet hear legal struggl surround stori wit selfimport rumin held mic confus flabbergast peter phenomenon captur later tape enjoy place momentari distract escap mundan voyeurist laugh state human condit tape element level overinspect rub veneer laugh,1
4,marwencol unusu documentari reallif mark hogencamp resid kingston york hogancamp use marri hobbi talent illustr although subject matter illustr often aggress sexual ting reflect angri tempera undoubtedli exacerb alcohol chang 2000 hogancamp assault five lowlif kingston bar sustain signific brain damag coma nine hospit 40 gradual recov physic attack result attack hogancamp lost memori former lost desir alcohol becam docil sensit person contrast angri alcohol preattack,1
5,unusu documentari unusu mark hogencamp sort artist accid ago mark beaten death thug local bar,1
6,documentari dark creat marc singer seemingli insid scoop live homeless set shelter york citi amtrak system highli ambiti move hope singer includ varieti shot myself bore quick pace pain slow each shaki hand held clip lose attent myself question seem reach climax conflict shown itself emot homeless folk talk horrif event happen children slouch chair plead soon singer topic potenti drop ball captiv visual keep emot invest,1
7,suppos emot documentari miss mark mile zero emot reaction suppos entir fathom question els happen regard grandmoth somehow forgot happen boy uncl death bullshit strike lie bitch person grief camera painlessli until becam angri complet falsehood worthless question,1
8,follow event happen follow three peopl death la counti none next kin hand govern,1
9,fleet 94 infam 2006 documentari overlong pad despit viscer shock wit throw himself golden gate bridg wideangl longdist shot open eric steel oddli uninvolv studi twentyfour decid use fatalist landmark live 2004 twentythre succeed steel multipl camera setup captur eeri focus hand victim griev famili speak appar unawar filmmak footag possess deliber decis steel encourag further suicid attempt due undeni exploit approach,1
10,premis simpl camera record walk san francisco golden gate bridg commit suicid jump bridg moment record rel friend jumper interview survivor testimoni bridg nutshel,1
11,insight documentari subject wonder sooner suffer overal talk head member friend victim basic await inform jump affect jumper bodi medic technicaltyp inform wouldv came imageri bridg water below footag variou jumper less haunt disturb sever couldveshouldv tighter overal compel experi nonetheless,1
12,bridg 2006 documentari eric steel purport tell stori hand individu commit suicid golden gate bridg 2004 inspir articl entitl jumper written tad friend appear yorker magazin 2003 documentari caus signific controversi eric steel reveal trick golden gate bridg committe allow bridg month dure captur 23 24 known suicid took place permit applic golden gate nation recreat area steel intend captur power spectacular intersect monument natur place golden gate bridg,1
13,extrem power lessen egotist bent filmmak doubt jame ronald whitney credit screenplay edit mention frequent appear disturb tell constant cri attent becom overwhelm besid appear face camera offscreen interview confront brutish grandfath copiou starsearch footag taken amateur hoofer add footag mother relat iq score becom shame deserv,1
