Row_Num,Processed_Text,Polarity
1,view thi wa one best xmen movi best start bang one best start great background music complement start sequence overal charact thi movi well composed like way victor wa put togeth thi movie realli put strong show rest xmen well overshadow wolverin victor movi wa origion wolverine big fan jackman realli deliv hi best movi like xmen ven hels type movi show hi true character must watch film forget peopl say thi movi flop go watch wont disappointed bet,1
2,asid naysayers truli enjoy thi film wa good anyon could possibl comic book charact ha span volum book tell hi story great job bring stori real world well explain wars differ wolverin sabertooth time line audienc accept relat,1
3,thi film wa amaz becaus like action also manag squeez plot humanistic excit plot first xmen wa good xmen 2 wa beyond xmen 3 may lost ground wolverin pick ground sequel onli surpass x3 intrigu well structured,1
4,tell truth im pretti surpris neg review iv read imdb elsewher net aicn example thought xmen 1 2 came close masterpiec xmen 3 suck big time wolverin movi howev well made excit surprisingli effective opinion somebodi doesnt know anyth comics wolverin mainli movi hero mayb make big difference,1
5,tell truth never expect thi movi take pointi felt like wa 13 wa excellent far thi best x men movi made brought real marvel x men experi loved obvious first x men movi self knew hugh jackman wa perfect wolverine ha turn e legend dont think anybodi els thi world could bring anim portrait logan sensit side time wa brilliant would crime dont mention spectacular perform liev schreiber sabertooth aka victor creed god wa villain story hi reflect sabertooth made x men fan fall love fell love character wa like true cartoon sabertooth 1980 wa brought life hate sabertooth wa x men 1 wa like bad soft toy final made thi movi best x men movi graphic effects sound wa strong stori happen true stori wolverine dont get wrong though graphic effects sound excellent everi critic criticism well main thing dont like thi move dead pool end never happened made awesom mutant freak love hi perform couldv done better love charact dead pool couldv use differently said overal wa brilliant movie true old marvel comic x men lover would worship thi movie cant wait till creat next movi realli realli love see time favorit one power mutants apocalypse one last thing onli true old x men lover could get fullest impact thi great movi call great piec art done gavin hood david benioff skip wood hugh jackman,1
6,seem lot negative critic comment board comment imdb beg disagree,1
7,im expert marvel comic charact onli seen two xmen movi far im pretti confid say enjoy superhero film general xmen origins wolverin provid 107 minut solid entertainment,1
8,final watch xmen origins wolverin today sure expect hope least trace qualiti previou x men movi love let tell wa blown away thi incred movi dare say wa best series action pack stori line superb wa glu tv without want even look away moment scare id miss something found xmen origins wolverin far entertain watchmen sever call blockbusterswheth xmen fan favor watch im sure youll pleasantli surprised,1
9,idea whi peopl bash wolverine think extrem well made highli entertain movi great act fit storyline also pretti dark uncompromis mani scenes,1
10,xmen origins wolverin join whole host film becom genr last years establish film seri take charact back root reboot series casino royale batman begin upcom star trek name examples,1
11,thi movi cost 150 million make wa obvious,1
12,iv fair fan seri whole even weaker instal thoroughli enjoyed review alreadi weigh favor thi film say even critic point view thought wa realli well done standard comic book fairi tale intrins studi wolverin character show lot depth vulner thi outing far previou installments riski necessari move see oper balanc challeng realli prone death ani moment humor match well drama interest view way support role found interest well realli enjoy presenc yukio provid invalu aid despit wolverine incess protests found nice see hi charact final develop closur time wev get see hi cinemat installments,1
13,throughout cours modern superhero era one thing ha stay true hugh jackman wolverine success piec xmen franchis three films wolverin got hi solo gig 2009 xmen origins wolverine turn chaotic smear superhero film clichridden script jackman ha becom synonym part way would make even robert downey jr jealous deserv better,1
14,thi anoth light fluffi comic book super hero movie thi movi actual ha depth substanc fight scene take place everi minut like comic book movi lately deep charact studi wolverine thought wa unexpectedli good jackman superb job lead role tortur hero seem longer want go live hi near immort exist becaus deep regret guilt feel thing happen past,1
15,wolverin second solo instal charact sixth xmen instal fox stori definit improv predecessor except first class teas larger univers fox prepar order compet marvel studios,1
16,first foremost must say absolut love thi movie cover review may larg due fact alway held sourc materi thi film veri high regard said recogn may slide scale enjoy thi film fan 1983 claremontmil miniseri wolverin thi movi wait fond charact wolverin interest delv deeper hi chronolog explor hi inner conflicts certainli enjoy thi movie however familiarity desir familiar charact wolverine may find care mani slower moment long evenli pace action film,1
17,frank miller chri claremont 1982 japanes stori arc one famou celebr comic book history ha final cinemat treatment amidst loos adapt watch tast wolverine first solo outing,1
18,2009 xmen origins wolverin wa receiv neg critic major fan character charact ha chanc redeem thi year wolverin part thi film ha realli tri pleas fan wa loos base belov japan stori line comic clear film ha tri fix problem complain previou solo wolverin film despit take place event xmen last stand thi film attempt distanc rest xmen charact stori focus sole wolverin charact result thi film feel veri differ previou xmen films thi allow best portray wolverine charact seen far hugh jackman also deliv hi best perform charact date realli enjoy pace film well becaus although wa face pace action film wasnt afraid slow thing develop charact relationship howev never slow long befor pick pace anoth action scene action thi film also veri well done becaus everi sequenc creativ ha purpos never feel like mindless action wev come expect big budget summer films humour also use effect thi film writer take advantag wolverine idgaf attitude howev film isnt perfect one mutant charact occasion seem slightli place peopl might find charact bit top also time time doe feel like play safe insur dont make ani mistak last wolverin film overal wolverine although perfect fun superhero film get lot thing right make wolverin charact popular,1
19,spoiler warning,1
20,spoiler warn safe like origin three spiderman film much anybody realli feel like amaz job thi reboot may minority feel like thi film great job handl peter chang nerd hero everi charact thi film felt human everi actor fantast job respect characters lot peopl keep compar thi origin three films even say made fourth film instead rebooti disagree thi film didnt reinvent story switch much wa make charact relat made thi lot closer comics although still isnt exactli like comics one main gripe origin spiderman film wa petti one ill admit got address wa fix thi one would fact parker actual ha make hi web shooter thi one wherea origin spider bite gave hi power shoot webs villainwhil lizard obvious ha noth green goblin feel like wa great choic film ye goblin iconic feel main focu movi appear given side role half movi would origin stori thi one lot peopl upset cgi limit lizar movementand honestli say didnt bother one bit fact would prefer cgi guy run around lizard costumethat wouldnt veri menac would conclusion feel like thi reboot wa justifi humbl honest opinion prove better ani origin three spiderman films except possibl second one wait tsm2 come,1
21,keep thi short see review veri surpris neg tbh think usual resist chang lot cases,1
22,initially like mani people kneejerk respons amaz spiderman hereaft tas wa unnecessari redundant felt tobey maguire interpret fame arachnoid peter parker wa thoroughli satisfi complete therefore didnt bother see ta cineplex recent cable encor wa period show ta eventu give curiosity sat one saturday morn give ta chance wish seen ta movi theatre although cover usual spidey origin trajectori nerdi braini loner love auntuncle bite genet alter spider subsequ infus power confidence emerg outlandish deadli villain think ta doe touching affecting dare say grittili realist depict spiderman importantly peter parker,1
