Row_Num,Processed_Text,Polarity
1,two greater asshol creator thi garbag yet come across tape film agoni two peopl go version hell doesnt take much talent let alon mani ethics god sausag deprey would loos lawsuit famili victim ridicule end street find hell realli like mayb would make anoth film life real laugh two jerk remind creep thought pig parties funny regret watch 30 minut thi befor figur want 30 minut back ani concept human avoid thi tripe costs,0
2,end thi movi felt like excus milk tape littl fame andor money,0
3,stori raymond peter mean drunk aw roommat whose constant shout match commit tape frustrat neighbor made unwitting unsuspect pair underground celebrities like thematicallysimilar winnebago man quest learn clueless cult legend much reward actual end trail focu hover revisit tapes hear men record reminisc glori days watch dozen talk head throw headset burst genuin fit laughter light cheeri smile minute later inher humor materi begin run whole pictur begin look downright pathetic hear legal struggl surround story film rights wit selfimport rumin guy held mic see confus flabbergast peter wa phenomenon captur film year later actual take away made tape enjoy first place momentari distraction escap mundan voyeurist laugh worst state human condition tape element best thi level overinspect onli rub away veneer mani laughs,0
4,marwencol unusu documentari reallif character mark hogencamp resid kingston new york hogancamp use marri hobbi talent illustr although subject matter hi illustrations often aggress sexual tinged reflect angri temperament undoubtedli exacerb alcoholism everyth chang 2000 hogancamp wa assault five lowlif kingston bar sustain signific brain damage wa coma nine day hospit 40 days onli gradual recov physic attack result attack hogancamp lost almost hi memori hi former life time complet lost hi desir alcohol becam much docile sensit person contrast angri alcohol hi preattack days,0
5,thi veri unusu documentari veri unusu guy mark hogencamp sort artist accident 10 year ago mark wa beaten almost death thug local bar,0
6,documentari dark day creat marc singer show seemingli interest insid scoop live homeless set shelter new york citi amtrak system thi highli ambiti film wa move one would hope singer includ varieti shot found get bored quick pace film wa pain slow shaki hand held clip last long enough lose attention found question movi wa ever go end seem like never reach climax wa real conflict shown film onli scene actual felt emot two homeless folk talk horrif event happen children slouch chair plead end come soon singer topic high potenti drop ball far captiv visual keep emot invest hi film,0
7,thi wa suppos emot documentari miss mark least mile saw almost zero emot reaction famili wa suppos love rather entir acting least fathom question someth els realli happen thi poor young man mean goodness regard grandmoth somehow forgot happen night boy uncle death really complet bullshit strike complet lie bitch watch lot real person grief camera didnt see bit watch painlessli becam angri complet falsehood thi work worthless complet questionable,0
8,film follow event happen follow three people death la county none next kin hand government,0
9,even fleet 94 minutes thi infam 2006 documentari feel overlong rather pad despit viscer shock wit man throw golden gate bridge thi wideangle longdist shot open eric steel oddli uninvolv studi twentyfour peopl decid use fatalist landmark end live 2004 twentythre succeeded steel multipl camera setup captur hi eeri film focus hand victim let griev famili speak apparently unawar filmmak footag hi possession deliber decis steel want encourag ani suicid attempt due film time someth undeni exploit hi approach,0
10,premis thi movi simple camera record peopl walk san francisco golden gate bridge whole year peopl commit suicid jump bridg last moment record film rel friend jumper interviewed one survivor also give hi testimony bridge nutshell,0
11,interest insight documentari great subject one wonder whi one done sooner however suffer overal mani talk head famili member friend victims basic say things await inform jump affect jumpers bodi medic technicaltyp inform wouldv interesting never came great imageri bridg water footag variou jumper noth less haunt veri disturb sever reasons couldveshouldv much tighter overal compel experi nonetheless,0
12,bridg 2006 documentari film eric steel purport tell stori hand individu commit suicid golden gate bridg 2004 film wa inspir articl entitl jumpers wa written tad friend appear new yorker magazin 2003 documentari caus signific controversi eric steel reveal trick golden gate bridg committe allow film bridg month dure captur 23 24 known suicid took place hi permit applic golden gate nation recreat area steel said intend captur powerful spectacular intersect monument natur take place everi day golden gate bridge,0
